dum;oznaceni;patro;dispozice;plocha_m2;cena_kc_mesic;stav;nastehovani;vystehovani;pdf_odkaz;poznamka
Hlinky 74;1C;1;obchodní prostor;71.7;23371;volný;2027-08;;;14 300 obch. jednotka + 9 071 sklad
Hlinky 74;2A1;2;;;;;;;;
Hlinky 74;2A2;2;;;;;;;;
Hlinky 74;2B1;2;;;;;;;;
Hlinky 74;2B2;2;;;;;;;;
Hlinky 74;3A1;3;;;;;;;;
Hlinky 74;3A2;3;;;;;;;;
Hlinky 74;3B1;3;;;;;;;;
Hlinky 74;3B2;3;;;;;;;;
Hlinky 74;4A1;4;;;;;;;;
Hlinky 74;4A2;4;;;;;;;;
Hlinky 74;4B1;4;;;;;;;;
Hlinky 74;4B2;4;;;;;;;;
Hlinky 74;5A1;5;;;;;;;;
Hlinky 74;5A2;5;;;;;;;;
Hlinky 74;5B1;5;;;;;;;;
Hlinky 74;5B2;5;;;;;;;;
Hlinky 74;6A1;6;;;;;;;;
Hlinky 74;6A2;6;;;;;;;;
Hlinky 74;6B1;6;;;;;;;;
Hlinky 74;6B2;6;;;;;;;;
Hlinky 74;7A1;7;;;;;;;;
Hlinky 74;7A2;7;;;;;;;;
Hlinky 74;7B1;7;;;;;;;;
Hlinky 74;7B2;7;;;;;;;;
Hlinky 74;8A1;8;;;;;;;;
Hlinky 74;8B1;8;;;;;;;;
Hlinky 80;1A;1;obchodní prostor;53.5;20330;volný;2027-08;;;
Hlinky 80;1B;1;obchodní prostor;206.8;78584;volný;2027-08;;;regulovatelná příčka
Hlinky 80;2A;2;;;;;;;;
Hlinky 80;2B;2;;;;;;;;
Hlinky 80;2C;2;;;;;;;;
Hlinky 80;2D;2;;;;;;;;
Hlinky 80;2E;2;;;;;;;;
Hlinky 80;2F;2;;;;;;;;
Hlinky 80;2G;2;;;;;;;;
Hlinky 80;3A;3;;;;;;;;
Hlinky 80;3B;3;;;;;;;;
Hlinky 80;3C;3;;;;;;;;
Hlinky 80;3D;3;;;;;;;;
Hlinky 80;3E;3;;;;;;;;
Hlinky 80;3F;3;;;;;;;;
Hlinky 80;3G;3;;;;;;;;
Hlinky 80;4A;4;;;;;;;;
Hlinky 80;4B;4;;;;;;;;
Hlinky 80;4C;4;;;;;;;;
Hlinky 80;4D;4;;;;;;;;
Hlinky 80;4E;4;;;;;;;;
Hlinky 80;4F;4;;;;;;;;
Hlinky 80;4G;4;;;;;;;;
Hlinky 80;5A;5;;;;;;;;
Hlinky 80;5B;5;;;;;;;;
Hlinky 80;5C;5;;;;;;;;
Hlinky 80;5D;5;;;;;;;;
Hlinky 80;5E;5;;;;;;;;
Hlinky 80;5F;5;;;;;;;;
Hlinky 80;5G;5;;;;;;;;
Hlinky 80;6A;6;;;;;;;;
Hlinky 80;6B;6;;;;;;;;
Hlinky 80;6C;6;2+1;;;;;;;
Hlinky 80;6D;6;;;;;;;;
Hlinky 80;6E;6;;;;;;;;
Hlinky 80;6F;6;;;;;;;;
Hlinky 80;6G;6;;;;;;;;
Hlinky 80;7A;7;;;;;;;;
Hlinky 80;7B;7;;;;;;;;
Hlinky 80;7C;7;2+1;;;;;;;
Hlinky 80;7D;7;;;;;;;;
Hlinky 80;7E;7;;;;;;;;
Hlinky 80;7F;7;;;;;;;;s terasou
Hlinky 80;7G;7;;;;;;;;s terasou
